Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
험난한 시총 조의 길,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,0.8108365338102508,True
햐 막판 동시호가,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
아름다운 조정이네요,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
매수체결강도 프매 만주 우위,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
에스오일 옆동네 오늘 많이 떨어지네,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
투자자 보호를 위한 첫 걸음을 시작 했습니다,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
현대판 전쟁,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
다음주 야당주최 상법개정 토론회,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,0.6142180670844469,False
기관은 매수 중 입니다,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
EU 러시아산 원유로 생산된 제국 정유제품 수입,-1,-1_생산된_석유가격_수입_원유로,"['생산된', '석유가격', '수입', '원유로', '제국', '정유제품', '러시아산', '상승중', '러시아', 'eu']","['러시아 내 석유가격 상승중', 'EU 러시아산 원유로 생산된 제국 정유제품 수입']",생산된 - 석유가격 - 수입 - 원유로 - 제국 - 정유제품 - 러시아산 - 상승중 - 러시아 - eu,0.0,True
자 알타네,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
시총 조로 가기 위한 험난한 여정,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,0.7430044690442589,False
베네수엘라 정유회사 폭발,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
이 뭐 무른 어이가 없어갖고,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
이상 하락했어요,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,0.97975752474533,False
거짓입니다,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
