Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
프로그램매도는,1,1_개잡주_하루종일_보면_트롤,"['개잡주', '하루종일', '보면', '트롤', '외인', '개관들의', '가끔', '거의다', '개잡주와', '개잡주는']","['차트만 놓고 보면', '운전 트롤 주포 츌발', '아직도 사기당하는 개미들 보면 대단하다']",개잡주 - 하루종일 - 보면 - 트롤 - 외인 - 개관들의 - 가끔 - 거의다 - 개잡주와 - 개잡주는,0.9292328572393396,False
이건 모야,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,0.9343554102696657,False
물타기 해서 원 까지 올리자,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,0.9720256414845447,False
설마 여기서 끝은 아니겠지,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,1.0,False
종가는 원 원상복귀 마감 예상,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,1.0,False
저거물량깔아놓고선 사는척하면서,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,0.9921483420705898,False
어차피 오늘 종가는 음봉마감 빨리 돔황처,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,0.9710178918971009,True
이상 상승했어요,-1,-1_공매야_낼은_시초가_만주,"['공매야', '낼은', '시초가', '만주', '가는', '가는거니', '거꾸로', '그대로', '기준선에', '그랬습니다']","['내리면 사고 오르면 팔고', '유증 날짜는 그대로 가는거니', '낼은 시초가']",공매야 - 낼은 - 시초가 - 만주 - 가는 - 가는거니 - 거꾸로 - 그대로 - 기준선에 - 그랬습니다,0.0,False
까지 갈건데,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,1.0,False
유증납입한건가,0,0_오늘도_장가야_용채야_이거,"['오늘도', '장가야', '용채야', '이거', '오늘', '그만', '기영이', '엄청', '종가는', '자전거래']","['어차피 오늘 종가는 음봉마감 빨리 돔황처', '장가야 용채야 고생햇다', '장가야 용채야']",오늘도 - 장가야 - 용채야 - 이거 - 오늘 - 그만 - 기영이 - 엄청 - 종가는 - 자전거래,0.9918687057145826,False
