Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
시중은행 으로 전환 하고 싶다고 사명 바꾼다는,-1,-1_분석_top_예정_분리과세,"['분석', 'top', '예정', '분리과세', '배당', '소각', '자사주', '분기', '낙폭한번올듯', '김도하연구원']","['분기 증권사 전체 리포트 분석 년차 주주', '다음주 자사주 소각 차 상법개정안 발의 예정', '월 자사주 소각 배당 분리과세 유일 중복']",분석 - top - 예정 - 분리과세 - 배당 - 소각 - 자사주 - 분기 - 낙폭한번올듯 - 김도하연구원,0.0,False
페퍼저축은행 인수 추진,2,2_jb금융지주_jb_ai_요약,"['jb금융지주', 'jb', 'ai', '요약', '분기', '배당금', 'jb금융', '인수', 'jjb', '현금']","['AI 요약 JB금융지주 유안타증권 주관', 'AI 요약 주 JB금융지주 현금 현물배', 'AI 요약 JB금융지주 년 분기']",jb금융지주 - jb - ai - 요약 - 분기 - 배당금 - jb금융 - 인수 - jjb - 현금,0.6756332987723164,False
저평가이면서 배당도 기대,-1,-1_분석_top_예정_분리과세,"['분석', 'top', '예정', '분리과세', '배당', '소각', '자사주', '분기', '낙폭한번올듯', '김도하연구원']","['분기 증권사 전체 리포트 분석 년차 주주', '다음주 자사주 소각 차 상법개정안 발의 예정', '월 자사주 소각 배당 분리과세 유일 중복']",분석 - top - 예정 - 분리과세 - 배당 - 소각 - 자사주 - 분기 - 낙폭한번올듯 - 김도하연구원,0.0,False
jb금융지주 배당금,2,2_jb금융지주_jb_ai_요약,"['jb금융지주', 'jb', 'ai', '요약', '분기', '배당금', 'jb금융', '인수', 'jjb', '현금']","['AI 요약 JB금융지주 유안타증권 주관', 'AI 요약 주 JB금융지주 현금 현물배', 'AI 요약 JB금융지주 년 분기']",jb금융지주 - jb - ai - 요약 - 분기 - 배당금 - jb금융 - 인수 - jjb - 현금,0.9158643714734744,False
오늘 유일하게 빨간불,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
다음주 자사주 소각 차 상법개정안 발의 예정,-1,-1_분석_top_예정_분리과세,"['분석', 'top', '예정', '분리과세', '배당', '소각', '자사주', '분기', '낙폭한번올듯', '김도하연구원']","['분기 증권사 전체 리포트 분석 년차 주주', '다음주 자사주 소각 차 상법개정안 발의 예정', '월 자사주 소각 배당 분리과세 유일 중복']",분석 - top - 예정 - 분리과세 - 배당 - 소각 - 자사주 - 분기 - 낙폭한번올듯 - 김도하연구원,0.0,True
평단 원 오늘 일부 매도합니다,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
AI 요약 JB금융지주 유안타증권 주관,2,2_jb금융지주_jb_ai_요약,"['jb금융지주', 'jb', 'ai', '요약', '분기', '배당금', 'jb금융', '인수', 'jjb', '현금']","['AI 요약 JB금융지주 유안타증권 주관', 'AI 요약 주 JB금융지주 현금 현물배', 'AI 요약 JB금융지주 년 분기']",jb금융지주 - jb - ai - 요약 - 분기 - 배당금 - jb금융 - 인수 - jjb - 현금,0.8387497673288674,True
힘들게 탈출했습니다,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
주 월 일 자사주 매입시작,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
배당분리과세 자사주 소각 유일하게 중복 수혜받,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,0.8709846503007822,False
자사주 매입이 조금 늦게 시작되는데,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
월 자사주 소각 배당 분리과세 유일 중복,-1,-1_분석_top_예정_분리과세,"['분석', 'top', '예정', '분리과세', '배당', '소각', '자사주', '분기', '낙폭한번올듯', '김도하연구원']","['분기 증권사 전체 리포트 분석 년차 주주', '다음주 자사주 소각 차 상법개정안 발의 예정', '월 자사주 소각 배당 분리과세 유일 중복']",분석 - top - 예정 - 분리과세 - 배당 - 소각 - 자사주 - 분기 - 낙폭한번올듯 - 김도하연구원,0.0,True
이상 상승했어요,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
수정 약 만주 월 날짜 소각,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
내일은 주식 소각일 이네요,-1,-1_분석_top_예정_분리과세,"['분석', 'top', '예정', '분리과세', '배당', '소각', '자사주', '분기', '낙폭한번올듯', '김도하연구원']","['분기 증권사 전체 리포트 분석 년차 주주', '다음주 자사주 소각 차 상법개정안 발의 예정', '월 자사주 소각 배당 분리과세 유일 중복']",분석 - top - 예정 - 분리과세 - 배당 - 소각 - 자사주 - 분기 - 낙폭한번올듯 - 김도하연구원,0.0,False
새로운 리서치가 있어요,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
JB금융지주 힘좀내보자,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
메리츠,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
앞으로 발표될 이벤트들이 JB금융지주에 어떤,0,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']",jb금융지주 - 오늘 - 자사주 - 시디즈 - 실적 - 금비 - 내가만듬 - 보단 - 보다 - 메리츠,1.0,False
