Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
와 막판에 파란색 만들려고 이걸 누르네,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,0.9706042361334903,False
세대는 이재명 대통령 정치에 분노한,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
오늘 왠일로 혼자만 떨어졌던거 복구중이네,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
거래일 연속 나오것네,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
신한금융 KB금융 사야 함,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
희망회로 츠 어 돌 리 지 들,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
이재명 청년들 미래 위해 그만둬야,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
이런좋은글에 공감이없다니,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
연말 만 재 돌파를 위한 알흠다운 조정,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
다른증권사는 메뉴찾는데 초,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
