Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
개금샷,0,0_end_년차_이번주_동시호가,"['end', '년차', '이번주', '동시호가', '돌파', '간다간다', 'to', '네이버챠트', '능력은', '고수']","['년차 고수', 'End to End', '이번주 만원 돌파']",end - 년차 - 이번주 - 동시호가 - 돌파 - 간다간다 - to - 네이버챠트 - 능력은 - 고수,1.0,False
주가는 안 오르고 이자는 쌓이고 네이버 빚,3,3_가치가_네이버는_네이버_디지털플랫폼,"['가치가', '네이버는', '네이버', '디지털플랫폼', '기업에', '거래량', '합병을하면', '집중하는이유', '초보가', '떨어지는']","['주가는 안 오르고 이자는 쌓이고 네이버 빚', '결국 네이버는 막대한 자금만 뜯김', '말귀를 못 알아듣네 합병으로 가치가 떨어지는']",가치가 - 네이버는 - 네이버 - 디지털플랫폼 - 기업에 - 거래량 - 합병을하면 - 집중하는이유 - 초보가 - 떨어지는,1.0,True
내일,0,0_end_년차_이번주_동시호가,"['end', '년차', '이번주', '동시호가', '돌파', '간다간다', 'to', '네이버챠트', '능력은', '고수']","['년차 고수', 'End to End', '이번주 만원 돌파']",end - 년차 - 이번주 - 동시호가 - 돌파 - 간다간다 - to - 네이버챠트 - 능력은 - 고수,0.8485283485338997,False
산놈은 있는대,1,1_역시_이거_동시호가_감이며,"['역시', '이거', '동시호가', '감이며', '개인이', '거지가', '걸고', '그냥', '그놈에', '그래도']","['역시 신한 똥줄타서 들어오니라', '두나무랑 합병발표 했는데 주가 왜 이러냐', '너는 역시 맨날 보합이구나']",역시 - 이거 - 동시호가 - 감이며 - 개인이 - 거지가 - 걸고 - 그냥 - 그놈에 - 그래도,0.8963832563982544,False
틀뒤 들어옴,-1,-1_네이버_공매도_두나무_파란불,"['네이버', '공매도', '두나무', '파란불', '오늘은', '쓸데없는', '소리하지말고', '오늘', '재료', '상장']","['쓸데없는 소리하지말고 공매도 대차차단설', '쓸데없는 소리하지말고 공매도 대차차단 설정', '쓸데없는 소리하지말고 공매도 대차차단']",네이버 - 공매도 - 두나무 - 파란불 - 오늘은 - 쓸데없는 - 소리하지말고 - 오늘 - 재료 - 상장,0.0,False
싸늘하네,-1,-1_네이버_공매도_두나무_파란불,"['네이버', '공매도', '두나무', '파란불', '오늘은', '쓸데없는', '소리하지말고', '오늘', '재료', '상장']","['쓸데없는 소리하지말고 공매도 대차차단설', '쓸데없는 소리하지말고 공매도 대차차단 설정', '쓸데없는 소리하지말고 공매도 대차차단']",네이버 - 공매도 - 두나무 - 파란불 - 오늘은 - 쓸데없는 - 소리하지말고 - 오늘 - 재료 - 상장,0.0,False
신한증권 얘네들 금감원 신고감 아님,2,2_오늘_희망회로_아님_가격에,"['오늘', '희망회로', '아님', '가격에', '그렇게', '가는', '가지고도', '개인들', '못먹을바엔', '당신들에게']","['신한증권 얘네들 금감원 신고감 아님', '코스피 개인들 팔고 있음 외국인 아님', '오늘 음봉일때 판 흑우 읍제 없을거라']",오늘 - 희망회로 - 아님 - 가격에 - 그렇게 - 가는 - 가지고도 - 개인들 - 못먹을바엔 - 당신들에게,1.0,True
NAVER 떴습니다,0,0_end_년차_이번주_동시호가,"['end', '년차', '이번주', '동시호가', '돌파', '간다간다', 'to', '네이버챠트', '능력은', '고수']","['년차 고수', 'End to End', '이번주 만원 돌파']",end - 년차 - 이번주 - 동시호가 - 돌파 - 간다간다 - to - 네이버챠트 - 능력은 - 고수,0.7573907046962911,False
이거 가긴 가겠낰,1,1_역시_이거_동시호가_감이며,"['역시', '이거', '동시호가', '감이며', '개인이', '거지가', '걸고', '그냥', '그놈에', '그래도']","['역시 신한 똥줄타서 들어오니라', '두나무랑 합병발표 했는데 주가 왜 이러냐', '너는 역시 맨날 보합이구나']",역시 - 이거 - 동시호가 - 감이며 - 개인이 - 거지가 - 걸고 - 그냥 - 그놈에 - 그래도,1.0,False
오늘은 개미들이 주로 판거 같은디,-1,-1_네이버_공매도_두나무_파란불,"['네이버', '공매도', '두나무', '파란불', '오늘은', '쓸데없는', '소리하지말고', '오늘', '재료', '상장']","['쓸데없는 소리하지말고 공매도 대차차단설', '쓸데없는 소리하지말고 공매도 대차차단 설정', '쓸데없는 소리하지말고 공매도 대차차단']",네이버 - 공매도 - 두나무 - 파란불 - 오늘은 - 쓸데없는 - 소리하지말고 - 오늘 - 재료 - 상장,0.0,False
