Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
손절,0,0_나오는_이제_종목_주가,"['나오는', '이제', '종목', '주가', '오늘', '실적', '갑니다', '강추', '감사', '찍어보자']","['아직도 똥주를 들고 있나요', '욕 밖에 안 나오는 종목', 'S 욕밖에 안 나오는 종목']",나오는 - 이제 - 종목 - 주가 - 오늘 - 실적 - 갑니다 - 강추 - 감사 - 찍어보자,1.0,False
외인들이 줄기차게 팔아데는데,1,1_될지_nh투증_xx년_가겠죠,"['될지', 'nh투증', 'xx년', '가겠죠', 'ima', '가격', '가올라', '개미들', '갖고', '공매']","['NH투증 주식을 갖고 장난친게 아닌데 참', '하루 종일 파는 창구가 있는게 개미들', 'IMA 인가 받으려고 유증까지 했는데 완전']",될지 - nh투증 - xx년 - 가겠죠 - ima - 가격 - 가올라 - 개미들 - 갖고 - 공매,0.9183726421943523,False
다른 증권사들은 원 오르는데,2,2_다른_증권주_증권_증권주는,"['다른', '증권주', '증권', '증권주는', '증권사', 'nh', '간다', '가게', '미래', '되어']","['증권 사 한투 미래 키움 삼성 NH 분기', '다른 증권주는 자사주 입법으로 꿈틀되는데', '혼자 다 처뭇나 NH 증권 농협 한군데도 성한']",다른 - 증권주 - 증권 - 증권주는 - 증권사 - nh - 간다 - 가게 - 미래 - 되어,1.0,False
금요일에 사서 화요일에 팔아라 증시 수,1,1_될지_nh투증_xx년_가겠죠,"['될지', 'nh투증', 'xx년', '가겠죠', 'ima', '가격', '가올라', '개미들', '갖고', '공매']","['NH투증 주식을 갖고 장난친게 아닌데 참', '하루 종일 파는 창구가 있는게 개미들', 'IMA 인가 받으려고 유증까지 했는데 완전']",될지 - nh투증 - xx년 - 가겠죠 - ima - 가격 - 가올라 - 개미들 - 갖고 - 공매,0.8667010965626571,False
뉴욕증시 연준 트럼프 양대 풋 에 반,2,2_다른_증권주_증권_증권주는,"['다른', '증권주', '증권', '증권주는', '증권사', 'nh', '간다', '가게', '미래', '되어']","['증권 사 한투 미래 키움 삼성 NH 분기', '다른 증권주는 자사주 입법으로 꿈틀되는데', '혼자 다 처뭇나 NH 증권 농협 한군데도 성한']",다른 - 증권주 - 증권 - 증권주는 - 증권사 - nh - 간다 - 가게 - 미래 - 되어,1.0,False
주가,0,0_나오는_이제_종목_주가,"['나오는', '이제', '종목', '주가', '오늘', '실적', '갑니다', '강추', '감사', '찍어보자']","['아직도 똥주를 들고 있나요', '욕 밖에 안 나오는 종목', 'S 욕밖에 안 나오는 종목']",나오는 - 이제 - 종목 - 주가 - 오늘 - 실적 - 갑니다 - 강추 - 감사 - 찍어보자,0.767596113567132,False
이해불가,0,0_나오는_이제_종목_주가,"['나오는', '이제', '종목', '주가', '오늘', '실적', '갑니다', '강추', '감사', '찍어보자']","['아직도 똥주를 들고 있나요', '욕 밖에 안 나오는 종목', 'S 욕밖에 안 나오는 종목']",나오는 - 이제 - 종목 - 주가 - 오늘 - 실적 - 갑니다 - 강추 - 감사 - 찍어보자,1.0,False
코스피까지 밀리는거아녀,1,1_될지_nh투증_xx년_가겠죠,"['될지', 'nh투증', 'xx년', '가겠죠', 'ima', '가격', '가올라', '개미들', '갖고', '공매']","['NH투증 주식을 갖고 장난친게 아닌데 참', '하루 종일 파는 창구가 있는게 개미들', 'IMA 인가 받으려고 유증까지 했는데 완전']",될지 - nh투증 - xx년 - 가겠죠 - ima - 가격 - 가올라 - 개미들 - 갖고 - 공매,0.7906214476452273,False
내가,0,0_나오는_이제_종목_주가,"['나오는', '이제', '종목', '주가', '오늘', '실적', '갑니다', '강추', '감사', '찍어보자']","['아직도 똥주를 들고 있나요', '욕 밖에 안 나오는 종목', 'S 욕밖에 안 나오는 종목']",나오는 - 이제 - 종목 - 주가 - 오늘 - 실적 - 갑니다 - 강추 - 감사 - 찍어보자,0.9715027608653403,False
참 주식 어렵네,2,2_다른_증권주_증권_증권주는,"['다른', '증권주', '증권', '증권주는', '증권사', 'nh', '간다', '가게', '미래', '되어']","['증권 사 한투 미래 키움 삼성 NH 분기', '다른 증권주는 자사주 입법으로 꿈틀되는데', '혼자 다 처뭇나 NH 증권 농협 한군데도 성한']",다른 - 증권주 - 증권 - 증권주는 - 증권사 - nh - 간다 - 가게 - 미래 - 되어,0.9703430165580732,False
개미들의 종목은 아닌듯,-1,-1_요약_믿고_패가망신호_코스피,"['요약', '믿고', '패가망신호', '코스피', '분기', '배당', '실적', '관세전쟁', 'pf', '갈수록']","['하한가 정도 장대음봉 나올 뉴스가 프로 하락', '장 요약 코스피', '장 요약 분기 실적']",요약 - 믿고 - 패가망신호 - 코스피 - 분기 - 배당 - 실적 - 관세전쟁 - pf - 갈수록,0.0,False
여긴 종토방이 조용한게 좋네요,1,1_될지_nh투증_xx년_가겠죠,"['될지', 'nh투증', 'xx년', '가겠죠', 'ima', '가격', '가올라', '개미들', '갖고', '공매']","['NH투증 주식을 갖고 장난친게 아닌데 참', '하루 종일 파는 창구가 있는게 개미들', 'IMA 인가 받으려고 유증까지 했는데 완전']",될지 - nh투증 - xx년 - 가겠죠 - ima - 가격 - 가올라 - 개미들 - 갖고 - 공매,0.8791364585275223,False
Nh투자증권,3,3_nh투자증권_요약_ai_투자의견매수,"['nh투자증권', '요약', 'ai', '투자의견매수', '투자의견매수유지', '확대', '기업금융', '엔에이치투자증권의', '리포트', '매매']","['nh투자증권', 'AI 요약 엔에이치투자증권의 매매', 'AI 요약 NH투자증권 최근 경']",nh투자증권 - 요약 - ai - 투자의견매수 - 투자의견매수유지 - 확대 - 기업금융 - 엔에이치투자증권의 - 리포트 - 매매,1.0,False
외인들끼리 자전거래인가요,1,1_될지_nh투증_xx년_가겠죠,"['될지', 'nh투증', 'xx년', '가겠죠', 'ima', '가격', '가올라', '개미들', '갖고', '공매']","['NH투증 주식을 갖고 장난친게 아닌데 참', '하루 종일 파는 창구가 있는게 개미들', 'IMA 인가 받으려고 유증까지 했는데 완전']",될지 - nh투증 - xx년 - 가겠죠 - ima - 가격 - 가올라 - 개미들 - 갖고 - 공매,0.9211142415131652,False
지금 사도 배당금 주나요,-1,-1_요약_믿고_패가망신호_코스피,"['요약', '믿고', '패가망신호', '코스피', '분기', '배당', '실적', '관세전쟁', 'pf', '갈수록']","['하한가 정도 장대음봉 나올 뉴스가 프로 하락', '장 요약 코스피', '장 요약 분기 실적']",요약 - 믿고 - 패가망신호 - 코스피 - 분기 - 배당 - 실적 - 관세전쟁 - pf - 갈수록,0.0,False
이제,0,0_나오는_이제_종목_주가,"['나오는', '이제', '종목', '주가', '오늘', '실적', '갑니다', '강추', '감사', '찍어보자']","['아직도 똥주를 들고 있나요', '욕 밖에 안 나오는 종목', 'S 욕밖에 안 나오는 종목']",나오는 - 이제 - 종목 - 주가 - 오늘 - 실적 - 갑니다 - 강추 - 감사 - 찍어보자,0.9715027608653403,False
횡령회사는 투자경고 등 뭐 제도가 없,-1,-1_요약_믿고_패가망신호_코스피,"['요약', '믿고', '패가망신호', '코스피', '분기', '배당', '실적', '관세전쟁', 'pf', '갈수록']","['하한가 정도 장대음봉 나올 뉴스가 프로 하락', '장 요약 코스피', '장 요약 분기 실적']",요약 - 믿고 - 패가망신호 - 코스피 - 분기 - 배당 - 실적 - 관세전쟁 - pf - 갈수록,0.0,False
외인매수로 하락장에서도 잘버티네요,1,1_될지_nh투증_xx년_가겠죠,"['될지', 'nh투증', 'xx년', '가겠죠', 'ima', '가격', '가올라', '개미들', '갖고', '공매']","['NH투증 주식을 갖고 장난친게 아닌데 참', '하루 종일 파는 창구가 있는게 개미들', 'IMA 인가 받으려고 유증까지 했는데 완전']",될지 - nh투증 - xx년 - 가겠죠 - ima - 가격 - 가올라 - 개미들 - 갖고 - 공매,0.9242852162272265,False
