Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
시대 수급 붙었습니다 종가 승부는 지금부터,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.8959920529643255,False
호가 창 캡춰해서 금감원 고발하면 되느니라,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
반대매매,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,True
장난치고있네,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
가관이네,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
만에 만주 걸려있는거 뭐임,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
SK하이닉스 떴습니다,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
외쿡애들이 준 기회의 줍줍 인가,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
신용주 반대매매 던져버린 개관들,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.8233042161634301,False
빠르게 퍼지고 있어 서둘러서 보셔야겠네요,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
