Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
지옥항공,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.9351599045954001,False
지주회사,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.9224933590383938,False
대한항공 반영될테니 홀 딩이지,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.9326236844511322,False
대악재 떳네 억 이거 돈 어,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8488670306492132,False
이딴 주식에 물타는 것들은 뭐야,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
장마감 신용개미 순매수 억,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8593100203483652,False
물타고 물타고 오늘의 평단,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
모건 파리바 씨티 JP모간,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
모지리 바보 집합소,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8000224946541035,False
동시호가 거래량 만 대박살,1,1_환율_거래량_동시호가_종가,"['환율', '거래량', '동시호가', '종가', 'msci', '그렇지', '그룹', '금리', '금리인상', '급등할듯']","['월 말 환율 종가', '주 종가 환율', '환율 이']",환율 - 거래량 - 동시호가 - 종가 - msci - 그렇지 - 그룹 - 금리 - 금리인상 - 급등할듯,1.0,False
반등 나올 구간인데 조용함,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
그렇지 월말 환율,1,1_환율_거래량_동시호가_종가,"['환율', '거래량', '동시호가', '종가', 'msci', '그렇지', '그룹', '금리', '금리인상', '급등할듯']","['월 말 환율 종가', '주 종가 환율', '환율 이']",환율 - 거래량 - 동시호가 - 종가 - msci - 그렇지 - 그룹 - 금리 - 금리인상 - 급등할듯,0.8313866011954678,False
동시호가 거래량 보소,1,1_환율_거래량_동시호가_종가,"['환율', '거래량', '동시호가', '종가', 'msci', '그렇지', '그룹', '금리', '금리인상', '급등할듯']","['월 말 환율 종가', '주 종가 환율', '환율 이']",환율 - 거래량 - 동시호가 - 종가 - msci - 그렇지 - 그룹 - 금리 - 금리인상 - 급등할듯,1.0,False
