Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
빈대인 리스크 지속중,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,0.9395072121097086,False
이번주 발의 되는 자사주 소각 배당 분리과세,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,True
국민들은 사법질서 무너뜨린 법무장관 규탄한다,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
한 미 관세협상 성공적이라는데 우리 경제에는,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
배당락일이 어제인데 왜 오름,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
배당금 받을려고 사봤다가,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
다음주 자사주소각 차 상법개정안 발의 예정입,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
마지막분전에 만주 먼가요,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
배당,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
금융지주 만원가능한부분입니다,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
