Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
종가 거래량 크네,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.8187104542374865,False
한달 지났는데 공시 못냄,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
외국인들이잔뜩산거보니,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
하루도 안빠지고 내리네,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
요즘 살만한가요,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.9367917499250279,False
이상타,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
개미 신용잔고 조,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
주가 조작에 설거지 탕인데,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.9120717133496503,False
개처반이네 도깬다,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
개미가 년동안 만주 매수,1,1_개미_개미들_오늘도_개미가,"['개미', '개미들', '오늘도', '개미가', '계속', '물량', '매수', '개미있나요', '기관', '기생충']","['개미 년간 백만주 넘게 매수', '오늘도 개미 검색종목 최상위권', '오늘도 개미 신용매수']",개미 - 개미들 - 오늘도 - 개미가 - 계속 - 물량 - 매수 - 개미있나요 - 기관 - 기생충,1.0,False
만까지는 냉정,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
왜 내종목만 시원하게 쏴주지 않을까요,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
까지 끌어내려도 반론은 불가,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.7802494916913137,False
고점 물량 다 개미 물량,1,1_개미_개미들_오늘도_개미가,"['개미', '개미들', '오늘도', '개미가', '계속', '물량', '매수', '개미있나요', '기관', '기생충']","['개미 년간 백만주 넘게 매수', '오늘도 개미 검색종목 최상위권', '오늘도 개미 신용매수']",개미 - 개미들 - 오늘도 - 개미가 - 계속 - 물량 - 매수 - 개미있나요 - 기관 - 기생충,0.9333623592133362,False
만 오면 매수하시길,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.9665435960455342,False
기술이 미래 삼성SDI 글로벌 전시회 인,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
