Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
IR은 왜하냐,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.923828928953091,False
창원 백발영감 유튜버 믿고 투자한 사람잇,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8610703988072739,False
기업설명회,2,2_이상_공매도가_개인공매들_기업설명회,"['이상', '공매도가', '개인공매들', '기업설명회', '내고', '늠들의', '기관', '리튬강산에', '매년', '문제입니다']","['포인 은 리튬강산에 프 이상 투자해놓고', '여기 기관 늠들의 공매도가 문제입니다', '아그파 지분 대략 조천억 이상 주식을']",이상 - 공매도가 - 개인공매들 - 기업설명회 - 내고 - 늠들의 - 기관 - 리튬강산에 - 매년 - 문제입니다,1.0,False
애푸터 개 떡락예정,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.781164585921691,False
아직도 여서 뭐하노,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.7611605803878638,False
사고,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.7157133495777114,False
차 상법개정안에 자사주 소각 의무화,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
자사주 소각 얼마 남지 않았다,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.9023481652481119,False
만 만 만 마아아아안,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.8551508986171711,False
포스코,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.9965042112570226,False
내 지식으로는 만 깨지는 순간,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8887270505905795,False
내 말 안들은 사람들의 댓가,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8339287420459467,False
이 인포 기입은,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
포잇,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.969970370808906,False
내말 안들은 댓가임,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,1.0,False
넌 정체가 뭐니,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.7352472561925939,False
IR에서 우리회사 망해요 이러냐,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8622015842279624,False
트럼프 우크라이나 일까지 종전 수용해야,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
하는게 워낙 많으니깐 어디에 장단맞추노,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.9211625250724196,False
재건주라고 우리가 아무리 엮어봐야,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.8033352598704047,True
내일은 상한가다 오늘 내린거 보상,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
통화 가치 하락 세계 위,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.7079292663034753,True
종가 마이너스프로임,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.8121268701119994,False
포스코인터내셔널이 우크라이나 전력 물류,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
우크라이나 포스코인터 포스코와 재건 협,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,True
우크라이나 재건 태마종목 상한가,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.7415426044508673,False
우크라이나 재건주 맞음 그냥도 아닌 재,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8056527273575629,True
오른다메,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.827307354799403,False
야는,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.9608123844308656,False
포인,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,True
넌 재건주 아니냐,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.6659807542955265,False
마이너스 퍼인데,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
포인 대표 이계인 사장도 해임해라,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.6790978719606936,False
주식판은 사기죠,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
포스코 그룹,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,0.8797528652289385,False
와 코스피 급등해도,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.7906898466807221,False
낼 하따,1,1_아무리_하락_포스코_오늘,"['아무리', '하락', '포스코', '오늘', 'ai', '공매들아', '국장시즌종료', '그룹', '기관들', '기회가']","['아무리 기회가 와도', '통화 가치 하락 세계 위', '재건주라고 우리가 아무리 엮어봐야']",아무리 - 하락 - 포스코 - 오늘 - ai - 공매들아 - 국장시즌종료 - 그룹 - 기관들 - 기회가,1.0,False
감사하면 바로따블,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.7226507984994625,False
텐베거 가능한 종목인 포스코인터내셔널,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.669169909648987,False
자 달려볼까,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,1.0,False
포스코인터내셔널 만원 기원,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.7554098683899837,True
일평균 반대매매 억,2,2_이상_공매도가_개인공매들_기업설명회,"['이상', '공매도가', '개인공매들', '기업설명회', '내고', '늠들의', '기관', '리튬강산에', '매년', '문제입니다']","['포인 은 리튬강산에 프 이상 투자해놓고', '여기 기관 늠들의 공매도가 문제입니다', '아그파 지분 대략 조천억 이상 주식을']",이상 - 공매도가 - 개인공매들 - 기업설명회 - 내고 - 늠들의 - 기관 - 리튬강산에 - 매년 - 문제입니다,1.0,False
통정거래 끝났나,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8322161335406009,False
배당금,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
팜 기업인수한거 대박호재야,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
사장말고 회장이 물러나야죠 비겁하고 찌질,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,0.8273708515277421,False
포인 오늘 상한가네 대단하다 상한가를,-1,-1_포인_우크라이나_포스코인터_기원,"['포인', '우크라이나', '포스코인터', '기원', '미국', '희토류', '거래량', '재건', '오늘', '계단식하락']","['포인 만원 기원', '포인', '우크라이나 포스코인터 포스코와 재건 협']",포인 - 우크라이나 - 포스코인터 - 기원 - 미국 - 희토류 - 거래량 - 재건 - 오늘 - 계단식하락,0.0,False
연기금이 드디어 매수합니다,0,0_오늘도_포스코인터내셔널_안들은_무조건,"['오늘도', '포스코인터내셔널', '안들은', '무조건', '만원언제오냐', '재건주', '안티들아', '상한가', '제발', '만원']","['우크라이나 재건주 맞음 그냥도 아닌 재', '포스코인터내셔널 만원 돌파 기원', '포스코인터내셔널 만원 기원']",오늘도 - 포스코인터내셔널 - 안들은 - 무조건 - 만원언제오냐 - 재건주 - 안티들아 - 상한가 - 제발 - 만원,1.0,False
