Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
시장 영향이 있는 것 같네요,-1,-1_상승_ess_리튬_공매도,"['상승', 'ess', '리튬', '공매도', '단기조정이', '고환율', '금리', '테슬라도', '급등', '근데']","['이번 조정은 단기조정이 아니라 중기 조정', '미 이차전지 금욜 폭등 실시간 테슬라도 급', '미 이차전지 금욜 폭등 실시간 테슬라도 급등 중']",상승 - ess - 리튬 - 공매도 - 단기조정이 - 고환율 - 금리 - 테슬라도 - 급등 - 근데,0.0,False
조전네,1,1_하한가_조전네_어휴_오은,"['하한가', '조전네', '어휴', '오은', '이번주에', '젭알', '뭐가', '아쉽네', '빼라', '바리']","['뭐가 읍다고', '하한가 하한가', '그렇지 확 빼라 젭알']",하한가 - 조전네 - 어휴 - 오은 - 이번주에 - 젭알 - 뭐가 - 아쉽네 - 빼라 - 바리,0.9987104794304098,False
망햇다,-1,-1_상승_ess_리튬_공매도,"['상승', 'ess', '리튬', '공매도', '단기조정이', '고환율', '금리', '테슬라도', '급등', '근데']","['이번 조정은 단기조정이 아니라 중기 조정', '미 이차전지 금욜 폭등 실시간 테슬라도 급', '미 이차전지 금욜 폭등 실시간 테슬라도 급등 중']",상승 - ess - 리튬 - 공매도 - 단기조정이 - 고환율 - 금리 - 테슬라도 - 급등 - 근데,0.0,False
이번주에,1,1_하한가_조전네_어휴_오은,"['하한가', '조전네', '어휴', '오은', '이번주에', '젭알', '뭐가', '아쉽네', '빼라', '바리']","['뭐가 읍다고', '하한가 하한가', '그렇지 확 빼라 젭알']",하한가 - 조전네 - 어휴 - 오은 - 이번주에 - 젭알 - 뭐가 - 아쉽네 - 빼라 - 바리,1.0,False
거래량,-1,-1_상승_ess_리튬_공매도,"['상승', 'ess', '리튬', '공매도', '단기조정이', '고환율', '금리', '테슬라도', '급등', '근데']","['이번 조정은 단기조정이 아니라 중기 조정', '미 이차전지 금욜 폭등 실시간 테슬라도 급', '미 이차전지 금욜 폭등 실시간 테슬라도 급등 중']",상승 - ess - 리튬 - 공매도 - 단기조정이 - 고환율 - 금리 - 테슬라도 - 급등 - 근데,0.0,False
개잡주,1,1_하한가_조전네_어휴_오은,"['하한가', '조전네', '어휴', '오은', '이번주에', '젭알', '뭐가', '아쉽네', '빼라', '바리']","['뭐가 읍다고', '하한가 하한가', '그렇지 확 빼라 젭알']",하한가 - 조전네 - 어휴 - 오은 - 이번주에 - 젭알 - 뭐가 - 아쉽네 - 빼라 - 바리,1.0,False
이번 조정은 단기조정이 아니라 중기 조정,-1,-1_상승_ess_리튬_공매도,"['상승', 'ess', '리튬', '공매도', '단기조정이', '고환율', '금리', '테슬라도', '급등', '근데']","['이번 조정은 단기조정이 아니라 중기 조정', '미 이차전지 금욜 폭등 실시간 테슬라도 급', '미 이차전지 금욜 폭등 실시간 테슬라도 급등 중']",상승 - ess - 리튬 - 공매도 - 단기조정이 - 고환율 - 금리 - 테슬라도 - 급등 - 근데,0.0,True
응 물린애들 아무말 없죠,-1,-1_상승_ess_리튬_공매도,"['상승', 'ess', '리튬', '공매도', '단기조정이', '고환율', '금리', '테슬라도', '급등', '근데']","['이번 조정은 단기조정이 아니라 중기 조정', '미 이차전지 금욜 폭등 실시간 테슬라도 급', '미 이차전지 금욜 폭등 실시간 테슬라도 급등 중']",상승 - ess - 리튬 - 공매도 - 단기조정이 - 고환율 - 금리 - 테슬라도 - 급등 - 근데,0.0,False
근데 오늘 누가 이렇게 파는겁니까,-1,-1_상승_ess_리튬_공매도,"['상승', 'ess', '리튬', '공매도', '단기조정이', '고환율', '금리', '테슬라도', '급등', '근데']","['이번 조정은 단기조정이 아니라 중기 조정', '미 이차전지 금욜 폭등 실시간 테슬라도 급', '미 이차전지 금욜 폭등 실시간 테슬라도 급등 중']",상승 - ess - 리튬 - 공매도 - 단기조정이 - 고환율 - 금리 - 테슬라도 - 급등 - 근데,0.0,False
가량비에 옷이 젖어가네,0,0_오늘_아직_탈출_머니을,"['오늘', '아직', '탈출', '머니을', '오늘은', '차전지', '준비하라', '계속', '만원', 'ess상승']","['년만에 층에서 약익절 탈출 후 아쉬웠', '일봉 주봉상 하락세 아직 안끝남', '머니을 준비하라 차전지 분수령 공개']",오늘 - 아직 - 탈출 - 머니을 - 오늘은 - 차전지 - 준비하라 - 계속 - 만원 - ess상승,0.9803231537009316,False
